"","X","SiteUID","Paper_ID","Treatment","UniqueFragID","Fragment_size_ha","Response","Sample_size_sum","Mist_net_hours","site_value","Cont_Paper_ID","Cont_SiteUID","Cont_UniqueFragID","Cont_Fragment_size_ha","Cont_Sample_size_sum","Cont_Value","lnRR","Comparison","Type","Partner_Paper_ID","Partner_SiteUID","Partner_UniqueFragID","Partner_Fragment_size_ha","Partner_Sample_size_sum","Partner_site_value","Response_site","Mist_net_hours_site","Sample_size","Rate","Treatment_site","UniqueFragID_site","Unique_name","Fragment_size_ha_site","Latitude","Longitude","Matrix_mean","Forest_Group","Elevation","Rainfall_mm","Forest_type","Country","Publication.Year","SiteUID_new","Cont_loc_key_new","Cont_SiteUID_generated_new","Cont_SiteUID_new","pooled_cont_new","lnRR_input","Value","nt","nc","nt_fix","nc_fix","vi_raw","vi","se_obs","lnRR_for_plot","Elevation_s","Rainfall_mm_s","Latitude_s","Longitude_s","Fragment_size_ha_s","forest_area_ref_ha","log_forest_area_ref","log_forest_area_ref_s","log_size_small","log_size_small_s","lnRR_plot"
"275",278,"Frag__9_3.47_102.35_3_NA",9,"Frag","9_3.47_102.35_3_NA",3,2,1,5,2,NA,NA,NA,NA,NA,NA,-0.78845736036427,"Frag_vs_Frag","SR_level",9,"Frag__9_3.22_102.19_551_NA","9_3.22_102.19_551_NA",551,1,5,2,5,1,0.4,"Frag","9_3.47_102.35_3_NA",NA,3,3.47,102.35,"Production_forests","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.47_102.35_3_NA",NA,NA,NA,FALSE,2,2,1,1,1,1,2,2,1.4142135623731,0.78845736036427,-0.213157542708155,-0.154341945150795,-0.23410004284978,1.00273351930378,-0.240338355126304,551,6.31173480915291,0.487452176395971,1.09861228866811,-0.774244204279654,0.78845736036427
"276",279,"Frag__9_3.47_102.35_3_NA",9,"Frag","9_3.47_102.35_3_NA",3,2,1,5,2,NA,NA,NA,NA,NA,NA,-1.88706964903238,"Frag_vs_Frag","SR_level",9,"Frag__9_3.23_102.1_2883_NA","9_3.23_102.1_2883_NA",2883,1,16,2,5,1,0.4,"Frag","9_3.47_102.35_3_NA",NA,3,3.47,102.35,"Production_forests","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.47_102.35_3_NA",NA,NA,NA,FALSE,2,2,1,1,1,1,2,2,1.4142135623731,1.88706964903238,-0.213157542708155,-0.154341945150795,-0.23410004284978,1.00273351930378,-0.240338355126304,2883,7.9665866976384,1.15511367302095,1.09861228866811,-0.774244204279654,1.88706964903238
"277",280,"Frag__9_3.47_102.35_3_NA",9,"Frag","9_3.47_102.35_3_NA",3,2,1,5,2,NA,NA,NA,NA,NA,NA,-2.05412373369555,"Frag_vs_Frag","SR_level",9,"Frag__9_3.26_102.11_11339_NA","9_3.26_102.11_11339_NA",11339,1,19,2,5,1,0.4,"Frag","9_3.47_102.35_3_NA",NA,3,3.47,102.35,"Production_forests","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.47_102.35_3_NA",NA,NA,NA,FALSE,2,2,1,1,1,1,2,2,1.4142135623731,2.05412373369555,-0.213157542708155,-0.154341945150795,-0.23410004284978,1.00273351930378,-0.240338355126304,11339,9.33600338997184,1.70761435581217,1.09861228866811,-0.774244204279654,2.05412373369555
"278",281,"Frag__9_3.47_102.35_3_NA",9,"Frag","9_3.47_102.35_3_NA",3,2,1,5,2,NA,NA,NA,NA,NA,NA,-0.78845736036427,"Frag_vs_Frag","SR_level",9,"Frag__9_3.33_102.23_44_NA","9_3.33_102.23_44_NA",44,1,5,2,5,1,0.4,"Frag","9_3.47_102.35_3_NA",NA,3,3.47,102.35,"Production_forests","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.47_102.35_3_NA",NA,NA,NA,FALSE,2,2,1,1,1,1,2,2,1.4142135623731,0.78845736036427,-0.213157542708155,-0.154341945150795,-0.23410004284978,1.00273351930378,-0.240338355126304,44,3.78418963391826,-0.532303492510959,1.09861228866811,-0.774244204279654,0.78845736036427
"279",282,"Frag__9_3.47_102.35_3_NA",9,"Frag","9_3.47_102.35_3_NA",3,2,1,5,2,NA,NA,NA,NA,NA,NA,-1.33500106673234,"Frag_vs_Frag","SR_level",9,"Frag__9_3.36_102.24_100_NA","9_3.36_102.24_100_NA",100,1,9,2,5,1,0.4,"Frag","9_3.47_102.35_3_NA",NA,3,3.47,102.35,"Production_forests","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.47_102.35_3_NA",NA,NA,NA,FALSE,2,2,1,1,1,1,2,2,1.4142135623731,1.33500106673234,-0.213157542708155,-0.154341945150795,-0.23410004284978,1.00273351930378,-0.240338355126304,100,4.60517018598809,-0.201073182469982,1.09861228866811,-0.774244204279654,1.33500106673234
"280",283,"Frag__9_3.47_102.35_3_NA",9,"Frag","9_3.47_102.35_3_NA",3,2,1,5,2,NA,NA,NA,NA,NA,NA,-0.78845736036427,"Frag_vs_Frag","SR_level",9,"Frag__9_3.36_102.25_122_NA","9_3.36_102.25_122_NA",122,1,5,2,5,1,0.4,"Frag","9_3.47_102.35_3_NA",NA,3,3.47,102.35,"Production_forests","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.47_102.35_3_NA",NA,NA,NA,FALSE,2,2,1,1,1,1,2,2,1.4142135623731,0.78845736036427,-0.213157542708155,-0.154341945150795,-0.23410004284978,1.00273351930378,-0.240338355126304,122,4.80402104473326,-0.120845421376229,1.09861228866811,-0.774244204279654,0.78845736036427
"281",284,"Frag__9_3.47_102.35_3_NA",9,"Frag","9_3.47_102.35_3_NA",3,2,1,5,2,NA,NA,NA,NA,NA,NA,-1.75785791755237,"Frag_vs_Frag","SR_level",9,"Frag__9_3.37_101.58_1838_NA","9_3.37_101.58_1838_NA",1838,1,14,2,5,1,0.4,"Frag","9_3.47_102.35_3_NA",NA,3,3.47,102.35,"Production_forests","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.47_102.35_3_NA",NA,NA,NA,FALSE,2,2,1,1,1,1,2,2,1.4142135623731,1.75785791755237,-0.213157542708155,-0.154341945150795,-0.23410004284978,1.00273351930378,-0.240338355126304,1838,7.51643330291563,0.973496157083326,1.09861228866811,-0.774244204279654,1.75785791755237
"282",285,"Frag__9_3.47_102.35_3_NA",9,"Frag","9_3.47_102.35_3_NA",3,2,1,5,2,NA,NA,NA,NA,NA,NA,-1.94591014905531,"Frag_vs_Frag","SR_level",9,"Frag__9_3.38_101.58_400_NA","9_3.38_101.58_400_NA",400,1,17,2,5,1,0.4,"Frag","9_3.47_102.35_3_NA",NA,3,3.47,102.35,"Production_forests","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.47_102.35_3_NA",NA,NA,NA,FALSE,2,2,1,1,1,1,2,2,1.4142135623731,1.94591014905531,-0.213157542708155,-0.154341945150795,-0.23410004284978,1.00273351930378,-0.240338355126304,400,5.99146454710798,0.358236913103077,1.09861228866811,-0.774244204279654,1.94591014905531
"283",286,"Frag__9_3.47_102.35_3_NA",9,"Frag","9_3.47_102.35_3_NA",3,2,1,5,2,NA,NA,NA,NA,NA,NA,-1.88706964903238,"Frag_vs_Frag","SR_level",9,"Frag__9_3.39_102.23_319_NA","9_3.39_102.23_319_NA",319,1,16,2,5,1,0.4,"Frag","9_3.47_102.35_3_NA",NA,3,3.47,102.35,"Production_forests","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.47_102.35_3_NA",NA,NA,NA,FALSE,2,2,1,1,1,1,2,2,1.4142135623731,1.88706964903238,-0.213157542708155,-0.154341945150795,-0.23410004284978,1.00273351930378,-0.240338355126304,319,5.76519110278484,0.266945319254436,1.09861228866811,-0.774244204279654,1.88706964903238
"284",287,"Frag__9_3.47_102.35_3_NA",9,"Frag","9_3.47_102.35_3_NA",3,2,1,5,2,NA,NA,NA,NA,NA,NA,-1.22377543162212,"Frag_vs_Frag","SR_level",9,"Frag__9_3.39_102.24_300_NA","9_3.39_102.24_300_NA",300,1,8,2,5,1,0.4,"Frag","9_3.47_102.35_3_NA",NA,3,3.47,102.35,"Production_forests","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.47_102.35_3_NA",NA,NA,NA,FALSE,2,2,1,1,1,1,2,2,1.4142135623731,1.22377543162212,-0.213157542708155,-0.154341945150795,-0.23410004284978,1.00273351930378,-0.240338355126304,300,5.7037824746562,0.24216958140905,1.09861228866811,-0.774244204279654,1.22377543162212
"285",288,"Frag__9_3.47_102.35_3_NA",9,"Frag","9_3.47_102.35_3_NA",3,2,1,5,2,NA,NA,NA,NA,NA,NA,-1.82454929205105,"Frag_vs_Frag","SR_level",9,"Frag__9_3.41_101.53_1356_NA","9_3.41_101.53_1356_NA",1356,1,15,2,5,1,0.4,"Frag","9_3.47_102.35_3_NA",NA,3,3.47,102.35,"Production_forests","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.47_102.35_3_NA",NA,NA,NA,FALSE,2,2,1,1,1,1,2,2,1.4142135623731,1.82454929205105,-0.213157542708155,-0.154341945150795,-0.23410004284978,1.00273351930378,-0.240338355126304,1356,7.21229446850034,0.850789230390732,1.09861228866811,-0.774244204279654,1.82454929205105
"286",289,"Frag__9_3.47_102.35_3_NA",9,"Frag","9_3.47_102.35_3_NA",3,2,1,5,2,NA,NA,NA,NA,NA,NA,-1.6094379124341,"Frag_vs_Frag","SR_level",9,"Frag__9_3.41_102.05_35_NA","9_3.41_102.05_35_NA",35,1,12,2,5,1,0.4,"Frag","9_3.47_102.35_3_NA",NA,3,3.47,102.35,"Production_forests","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.47_102.35_3_NA",NA,NA,NA,FALSE,2,2,1,1,1,1,2,2,1.4142135623731,1.6094379124341,-0.213157542708155,-0.154341945150795,-0.23410004284978,1.00273351930378,-0.240338355126304,35,3.55534806148941,-0.624631215493884,1.09861228866811,-0.774244204279654,1.6094379124341
"287",290,"Frag__9_3.47_102.35_3_NA",9,"Frag","9_3.47_102.35_3_NA",3,2,1,5,2,NA,NA,NA,NA,NA,NA,-1.52605630349505,"Frag_vs_Frag","SR_level",9,"Frag__9_3.41_102.19_31_NA","9_3.41_102.19_31_NA",31,1,11,2,5,1,0.4,"Frag","9_3.47_102.35_3_NA",NA,3,3.47,102.35,"Production_forests","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.47_102.35_3_NA",NA,NA,NA,FALSE,2,2,1,1,1,1,2,2,1.4142135623731,1.52605630349505,-0.213157542708155,-0.154341945150795,-0.23410004284978,1.00273351930378,-0.240338355126304,31,3.43398720448515,-0.673595096783173,1.09861228866811,-0.774244204279654,1.52605630349505
"288",291,"Frag__9_3.47_102.35_3_NA",9,"Frag","9_3.47_102.35_3_NA",3,2,1,5,2,NA,NA,NA,NA,NA,NA,-1.6094379124341,"Frag_vs_Frag","SR_level",9,"Frag__9_3.42_102.08_100_NA","9_3.42_102.08_100_NA",100,1,12,2,5,1,0.4,"Frag","9_3.47_102.35_3_NA",NA,3,3.47,102.35,"Production_forests","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.47_102.35_3_NA",NA,NA,NA,FALSE,2,2,1,1,1,1,2,2,1.4142135623731,1.6094379124341,-0.213157542708155,-0.154341945150795,-0.23410004284978,1.00273351930378,-0.240338355126304,100,4.60517018598809,-0.201073182469982,1.09861228866811,-0.774244204279654,1.6094379124341
"289",292,"Frag__9_3.47_102.35_3_NA",9,"Frag","9_3.47_102.35_3_NA",3,2,1,5,2,NA,NA,NA,NA,NA,NA,-1.52605630349505,"Frag_vs_Frag","SR_level",9,"Frag__9_3.42_102.27_353_NA","9_3.42_102.27_353_NA",353,1,11,2,5,1,0.4,"Frag","9_3.47_102.35_3_NA",NA,3,3.47,102.35,"Production_forests","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.47_102.35_3_NA",NA,NA,NA,FALSE,2,2,1,1,1,1,2,2,1.4142135623731,1.52605630349505,-0.213157542708155,-0.154341945150795,-0.23410004284978,1.00273351930378,-0.240338355126304,353,5.8664680569333,0.307806210341347,1.09861228866811,-0.774244204279654,1.52605630349505
"290",293,"Frag__9_3.47_102.35_3_NA",9,"Frag","9_3.47_102.35_3_NA",3,2,1,5,2,NA,NA,NA,NA,NA,NA,-2.10413415427021,"Frag_vs_Frag","SR_level",9,"Frag__9_3.43_101.56_160_NA","9_3.43_101.56_160_NA",160,1,20,2,5,1,0.4,"Frag","9_3.47_102.35_3_NA",NA,3,3.47,102.35,"Production_forests","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.47_102.35_3_NA",NA,NA,NA,FALSE,2,2,1,1,1,1,2,2,1.4142135623731,2.10413415427021,-0.213157542708155,-0.154341945150795,-0.23410004284978,1.00273351930378,-0.240338355126304,160,5.07517381523383,-0.0114469514430042,1.09861228866811,-0.774244204279654,2.10413415427021
"291",294,"Frag__9_3.47_102.35_3_NA",9,"Frag","9_3.47_102.35_3_NA",3,2,1,5,2,NA,NA,NA,NA,NA,NA,-1.88706964903238,"Frag_vs_Frag","SR_level",9,"Frag__9_3.44_102.26_5225_NA","9_3.44_102.26_5225_NA",5225,1,16,2,5,1,0.4,"Frag","9_3.47_102.35_3_NA",NA,3,3.47,102.35,"Production_forests","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.47_102.35_3_NA",NA,NA,NA,FALSE,2,2,1,1,1,1,2,2,1.4142135623731,1.88706964903238,-0.213157542708155,-0.154341945150795,-0.23410004284978,1.00273351930378,-0.240338355126304,5225,8.56121007683301,1.39501860834698,1.09861228866811,-0.774244204279654,1.88706964903238
"292",295,"Frag__9_3.47_102.35_3_NA",9,"Frag","9_3.47_102.35_3_NA",3,2,1,5,2,NA,NA,NA,NA,NA,NA,-1.09861228866811,"Frag_vs_Frag","SR_level",9,"Frag__9_3.45_102.1_32_NA","9_3.45_102.1_32_NA",32,1,7,2,5,1,0.4,"Frag","9_3.47_102.35_3_NA",NA,3,3.47,102.35,"Production_forests","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.47_102.35_3_NA",NA,NA,NA,FALSE,2,2,1,1,1,1,2,2,1.4142135623731,1.09861228866811,-0.213157542708155,-0.154341945150795,-0.23410004284978,1.00273351930378,-0.240338355126304,32,3.46573590279973,-0.660785863775615,1.09861228866811,-0.774244204279654,1.09861228866811
"293",296,"Frag__9_3.47_102.35_3_NA",9,"Frag","9_3.47_102.35_3_NA",3,2,1,5,2,NA,NA,NA,NA,NA,NA,-2.10413415427021,"Frag_vs_Frag","SR_level",9,"Frag__9_3.47_102.15_443_NA","9_3.47_102.15_443_NA",443,1,20,2,5,1,0.4,"Frag","9_3.47_102.35_3_NA",NA,3,3.47,102.35,"Production_forests","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.47_102.35_3_NA",NA,NA,NA,FALSE,2,2,1,1,1,1,2,2,1.4142135623731,2.10413415427021,-0.213157542708155,-0.154341945150795,-0.23410004284978,1.00273351930378,-0.240338355126304,443,6.09356977004514,0.399431974989756,1.09861228866811,-0.774244204279654,2.10413415427021
"294",297,"Frag__9_3.48_102.24_115_NA",9,"Frag","9_3.48_102.24_115_NA",115,13,1,17,13,NA,NA,NA,NA,NA,NA,0.897941593205959,"Frag_vs_Frag","SR_level",9,"Frag__9_3.22_102.19_551_NA","9_3.22_102.19_551_NA",551,1,5,13,17,1,0.764705882352941,"Frag","9_3.48_102.24_115_NA",NA,115,3.48,102.24,"Agriculture","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.48_102.24_115_NA",NA,NA,NA,FALSE,13,13,1,1,1,1,2,2,1.4142135623731,-0.897941593205959,-0.213157542708155,-0.154341945150795,-0.233378540531392,1.00146268710723,-0.0465756316977634,551,6.31173480915291,0.487452176395971,4.74493212836325,0.973385512771187,-0.897941593205959
"295",298,"Frag__9_3.48_102.24_115_NA",9,"Frag","9_3.48_102.24_115_NA",115,13,1,17,13,NA,NA,NA,NA,NA,NA,-0.200670695462151,"Frag_vs_Frag","SR_level",9,"Frag__9_3.23_102.1_2883_NA","9_3.23_102.1_2883_NA",2883,1,16,13,17,1,0.764705882352941,"Frag","9_3.48_102.24_115_NA",NA,115,3.48,102.24,"Agriculture","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.48_102.24_115_NA",NA,NA,NA,FALSE,13,13,1,1,1,1,2,2,1.4142135623731,0.200670695462151,-0.213157542708155,-0.154341945150795,-0.233378540531392,1.00146268710723,-0.0465756316977634,2883,7.9665866976384,1.15511367302095,4.74493212836325,0.973385512771187,0.200670695462151
"296",299,"Frag__9_3.48_102.24_115_NA",9,"Frag","9_3.48_102.24_115_NA",115,13,1,17,13,NA,NA,NA,NA,NA,NA,-0.367724780125317,"Frag_vs_Frag","SR_level",9,"Frag__9_3.26_102.11_11339_NA","9_3.26_102.11_11339_NA",11339,1,19,13,17,1,0.764705882352941,"Frag","9_3.48_102.24_115_NA",NA,115,3.48,102.24,"Agriculture","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.48_102.24_115_NA",NA,NA,NA,FALSE,13,13,1,1,1,1,2,2,1.4142135623731,0.367724780125317,-0.213157542708155,-0.154341945150795,-0.233378540531392,1.00146268710723,-0.0465756316977634,11339,9.33600338997184,1.70761435581217,4.74493212836325,0.973385512771187,0.367724780125317
"297",300,"Frag__9_3.33_102.23_44_NA",9,"Frag","9_3.33_102.23_44_NA",44,5,1,9,5,NA,NA,NA,NA,NA,NA,-0.897941593205959,"Frag_vs_Frag","SR_level",9,"Frag__9_3.48_102.24_115_NA","9_3.48_102.24_115_NA",115,1,13,5,9,1,0.555555555555556,"Frag","9_3.33_102.23_44_NA",NA,44,3.33,102.23,"Agriculture","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.33_102.23_44_NA",NA,NA,NA,FALSE,5,5,1,1,1,1,2,2,1.4142135623731,0.897941593205959,-0.213157542708155,-0.154341945150795,-0.244201075307224,1.00134715690754,-0.169407358156928,115,4.74493212836325,-0.144685255389201,3.78418963391826,0.512915173486306,0.897941593205959
"298",301,"Frag__9_3.36_102.24_100_NA",9,"Frag","9_3.36_102.24_100_NA",100,9,1,14,9,NA,NA,NA,NA,NA,NA,-0.351397886837889,"Frag_vs_Frag","SR_level",9,"Frag__9_3.48_102.24_115_NA","9_3.48_102.24_115_NA",115,1,13,9,14,1,0.642857142857143,"Frag","9_3.36_102.24_100_NA",NA,100,3.36,102.24,"Production_forests","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.36_102.24_100_NA",NA,NA,NA,FALSE,9,9,1,1,1,1,2,2,1.4142135623731,0.351397886837889,-0.213157542708155,-0.154341945150795,-0.242036568352058,1.00146268710723,-0.0725259964426573,115,4.74493212836325,-0.144685255389201,4.60517018598809,0.906399583246147,0.351397886837889
"299",302,"Frag__9_3.48_102.24_115_NA",9,"Frag","9_3.48_102.24_115_NA",115,13,1,17,13,NA,NA,NA,NA,NA,NA,0.897941593205959,"Frag_vs_Frag","SR_level",9,"Frag__9_3.36_102.25_122_NA","9_3.36_102.25_122_NA",122,1,5,13,17,1,0.764705882352941,"Frag","9_3.48_102.24_115_NA",NA,115,3.48,102.24,"Agriculture","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.48_102.24_115_NA",NA,NA,NA,FALSE,13,13,1,1,1,1,2,2,1.4142135623731,-0.897941593205959,-0.213157542708155,-0.154341945150795,-0.233378540531392,1.00146268710723,-0.0465756316977634,122,4.80402104473326,-0.120845421376229,4.74493212836325,0.973385512771187,-0.897941593205959
"300",303,"Frag__9_3.48_102.24_115_NA",9,"Frag","9_3.48_102.24_115_NA",115,13,1,17,13,NA,NA,NA,NA,NA,NA,-0.071458963982145,"Frag_vs_Frag","SR_level",9,"Frag__9_3.37_101.58_1838_NA","9_3.37_101.58_1838_NA",1838,1,14,13,17,1,0.764705882352941,"Frag","9_3.48_102.24_115_NA",NA,115,3.48,102.24,"Agriculture","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.48_102.24_115_NA",NA,NA,NA,FALSE,13,13,1,1,1,1,2,2,1.4142135623731,0.071458963982145,-0.213157542708155,-0.154341945150795,-0.233378540531392,1.00146268710723,-0.0465756316977634,1838,7.51643330291563,0.973496157083326,4.74493212836325,0.973385512771187,0.071458963982145
"301",304,"Frag__9_3.48_102.24_115_NA",9,"Frag","9_3.48_102.24_115_NA",115,13,1,17,13,NA,NA,NA,NA,NA,NA,-0.259511195485085,"Frag_vs_Frag","SR_level",9,"Frag__9_3.38_101.58_400_NA","9_3.38_101.58_400_NA",400,1,17,13,17,1,0.764705882352941,"Frag","9_3.48_102.24_115_NA",NA,115,3.48,102.24,"Agriculture","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.48_102.24_115_NA",NA,NA,NA,FALSE,13,13,1,1,1,1,2,2,1.4142135623731,0.259511195485085,-0.213157542708155,-0.154341945150795,-0.233378540531392,1.00146268710723,-0.0465756316977634,400,5.99146454710798,0.358236913103077,4.74493212836325,0.973385512771187,0.259511195485085
"302",305,"Frag__9_3.48_102.24_115_NA",9,"Frag","9_3.48_102.24_115_NA",115,13,1,17,13,NA,NA,NA,NA,NA,NA,-0.200670695462151,"Frag_vs_Frag","SR_level",9,"Frag__9_3.39_102.23_319_NA","9_3.39_102.23_319_NA",319,1,16,13,17,1,0.764705882352941,"Frag","9_3.48_102.24_115_NA",NA,115,3.48,102.24,"Agriculture","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.48_102.24_115_NA",NA,NA,NA,FALSE,13,13,1,1,1,1,2,2,1.4142135623731,0.200670695462151,-0.213157542708155,-0.154341945150795,-0.233378540531392,1.00146268710723,-0.0465756316977634,319,5.76519110278484,0.266945319254436,4.74493212836325,0.973385512771187,0.200670695462151
"303",306,"Frag__9_3.48_102.24_115_NA",9,"Frag","9_3.48_102.24_115_NA",115,13,1,17,13,NA,NA,NA,NA,NA,NA,0.462623521948113,"Frag_vs_Frag","SR_level",9,"Frag__9_3.39_102.24_300_NA","9_3.39_102.24_300_NA",300,1,8,13,17,1,0.764705882352941,"Frag","9_3.48_102.24_115_NA",NA,115,3.48,102.24,"Agriculture","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.48_102.24_115_NA",NA,NA,NA,FALSE,13,13,1,1,1,1,2,2,1.4142135623731,-0.462623521948113,-0.213157542708155,-0.154341945150795,-0.233378540531392,1.00146268710723,-0.0465756316977634,300,5.7037824746562,0.24216958140905,4.74493212836325,0.973385512771187,-0.462623521948113
"304",307,"Frag__9_3.48_102.24_115_NA",9,"Frag","9_3.48_102.24_115_NA",115,13,1,17,13,NA,NA,NA,NA,NA,NA,-0.138150338480817,"Frag_vs_Frag","SR_level",9,"Frag__9_3.41_101.53_1356_NA","9_3.41_101.53_1356_NA",1356,1,15,13,17,1,0.764705882352941,"Frag","9_3.48_102.24_115_NA",NA,115,3.48,102.24,"Agriculture","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.48_102.24_115_NA",NA,NA,NA,FALSE,13,13,1,1,1,1,2,2,1.4142135623731,0.138150338480817,-0.213157542708155,-0.154341945150795,-0.233378540531392,1.00146268710723,-0.0465756316977634,1356,7.21229446850034,0.850789230390732,4.74493212836325,0.973385512771187,0.138150338480817
"305",308,"Frag__9_3.41_102.05_35_NA",9,"Frag","9_3.41_102.05_35_NA",35,12,1,8,12,NA,NA,NA,NA,NA,NA,-0.0769610411361283,"Frag_vs_Frag","SR_level",9,"Frag__9_3.48_102.24_115_NA","9_3.48_102.24_115_NA",115,1,13,12,8,1,1.5,"Frag","9_3.41_102.05_35_NA",NA,35,3.41,102.05,"Production_forests","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.41_102.05_35_NA",NA,NA,NA,FALSE,12,12,1,1,1,1,2,2,1.4142135623731,0.0769610411361283,-0.213157542708155,-0.154341945150795,-0.238429056760114,0.999267613313184,-0.184977577003864,115,4.74493212836325,-0.144685255389201,3.55534806148941,0.403234632542115,0.0769610411361283
"306",309,"Frag__9_3.41_102.19_31_NA",9,"Frag","9_3.41_102.19_31_NA",31,11,1,15,11,NA,NA,NA,NA,NA,NA,-0.160342650075179,"Frag_vs_Frag","SR_level",9,"Frag__9_3.48_102.24_115_NA","9_3.48_102.24_115_NA",115,1,13,11,15,1,0.733333333333333,"Frag","9_3.41_102.19_31_NA",NA,31,3.41,102.19,"Agriculture","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.41_102.19_31_NA",NA,NA,NA,FALSE,11,11,1,1,1,1,2,2,1.4142135623731,0.160342650075179,-0.213157542708155,-0.154341945150795,-0.238429056760114,1.0008850361088,-0.191897674269169,115,4.74493212836325,-0.144685255389201,3.43398720448515,0.345068083936454,0.160342650075179
"307",310,"Frag__9_3.42_102.08_100_NA",9,"Frag","9_3.42_102.08_100_NA",100,12,1,27,12,NA,NA,NA,NA,NA,NA,-0.0769610411361283,"Frag_vs_Frag","SR_level",9,"Frag__9_3.48_102.24_115_NA","9_3.48_102.24_115_NA",115,1,13,12,27,1,0.444444444444444,"Frag","9_3.42_102.08_100_NA",NA,100,3.42,102.08,"Production_forests","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.42_102.08_100_NA",NA,NA,NA,FALSE,12,12,1,1,1,1,2,2,1.4142135623731,0.0769610411361283,-0.213157542708155,-0.154341945150795,-0.237707554441725,0.999614203912244,-0.0725259964426573,115,4.74493212836325,-0.144685255389201,4.60517018598809,0.906399583246147,0.0769610411361283
"308",311,"Frag__9_3.48_102.24_115_NA",9,"Frag","9_3.48_102.24_115_NA",115,13,1,17,13,NA,NA,NA,NA,NA,NA,0.160342650075179,"Frag_vs_Frag","SR_level",9,"Frag__9_3.42_102.27_353_NA","9_3.42_102.27_353_NA",353,1,11,13,17,1,0.764705882352941,"Frag","9_3.48_102.24_115_NA",NA,115,3.48,102.24,"Agriculture","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.48_102.24_115_NA",NA,NA,NA,FALSE,13,13,1,1,1,1,2,2,1.4142135623731,-0.160342650075179,-0.213157542708155,-0.154341945150795,-0.233378540531392,1.00146268710723,-0.0465756316977634,353,5.8664680569333,0.307806210341347,4.74493212836325,0.973385512771187,-0.160342650075179
"309",312,"Frag__9_3.48_102.24_115_NA",9,"Frag","9_3.48_102.24_115_NA",115,13,1,17,13,NA,NA,NA,NA,NA,NA,-0.417735200699979,"Frag_vs_Frag","SR_level",9,"Frag__9_3.43_101.56_160_NA","9_3.43_101.56_160_NA",160,1,20,13,17,1,0.764705882352941,"Frag","9_3.48_102.24_115_NA",NA,115,3.48,102.24,"Agriculture","Tropical_Lowland",200,2000,"Dipterocarp","Malaysia",2008,"Frag__9_3.48_102.24_115_NA",NA,NA,NA,FALSE,13,13,1,1,1,1,2,2,1.4142135623731,0.417735200699979,-0.213157542708155,-0.154341945150795,-0.233378540531392,1.00146268710723,-0.0465756316977634,160,5.07517381523383,-0.0114469514430042,4.74493212836325,0.973385512771187,0.417735200699979
